catalogWave,sourceId,sourceName,provider,officialGovernmentOrSRO,modelStage,evidenceBranch,priority,officialCoverage,accessMode,sizeClass,landingPage,collectionUnit,pointInTimeRule,projectUse,interpretationCaveat,packageStatus
WAVE1,SEC_ENFORCEMENT_ADMIN,SEC Administrative Proceedings,SEC,1,Labels/Actor Graph,official case labels,P1,historical through current,HTML/RSS,SMALL,https://www.sec.gov/enforcement-litigation/administrative-proceedings,order/release,official dates and document provenance,expand positives and actor-family components,Do not collapse allegations/orders/findings into one legal label,INDEX_QUEUE_INCLUDED
WAVE1,SEC_ENFORCEMENT_LITIGATION,SEC Litigation Releases,SEC,1,Labels/Actor Graph,official case labels,P1,historical through current,HTML/RSS,SMALL,https://www.sec.gov/enforcement-litigation/litigation-releases,release/case page,official alleged/charged dates; conservative event anchors,"expand positives, actors, promoters, brokers, tickers","Allegations, settlements and findings must be separately labeled",INDEX_QUEUE_INCLUDED
WAVE1,SEC_FINANCIAL_STATEMENTS,Financial Statement Data Sets,SEC,1,Stage1/2A,fundamental/dilution,P1,2009-01 through 2026-03,NO_KEY_BULK,LARGE,https://www.sec.gov/data-research/sec-markets-data/financial-statement-data-sets,quarter ZIP,filed < cutoff,compact face-financial numeric facts and SIC,As-filed; amendments and taxonomy changes need provenance,QUEUED_DYNAMIC_DISCOVERY
WAVE1,SEC_FORM_345_ACTUAL,Insider Transactions Data Sets (Forms 3/4/5 actual XML fields),SEC,1,External Evidence/Stage1/2A,insider transactions,P1,2006-01 through 2026-06,NO_KEY_BULK,MEDIUM,https://www.sec.gov/data-research/sec-markets-data/insider-transactions-data-sets,quarter ZIP,filing_date/transaction_date < cutoff,"buy/sell direction, shares, price, post-holdings, 10b5-1",Distinguish filing occurrence from actual transaction; amendments/delays matter,QUEUED_DYNAMIC_DISCOVERY
WAVE1,SEC_FORM_D,Form D Data Sets,SEC,1,Stage1/2A/External Evidence,private financing,P1,2009-09 through 2026-06,NO_KEY_BULK,MEDIUM,https://www.sec.gov/data-research/sec-markets-data/form-d-data-sets,quarter ZIP,filing_date < cutoff,"exempt offering, financing pressure, issuer/related-person network",Form D is not itself suspicious activity,QUEUED_DYNAMIC_DISCOVERY
WAVE1,SEC_FTD,Fails-to-Deliver Data,SEC,1,Stage1/2A/External Evidence,settlement stress,P1,2004-02 through 2026-07,NO_KEY_BULK,MEDIUM,https://www.sec.gov/data-research/sec-markets-data/fails-deliver-data,half-month/month/quarter ZIP,settlement_date < cutoff,"fails level, persistence, relative fails","Not proof of short selling, abusive or naked short selling",QUEUED_DYNAMIC_DISCOVERY
WAVE1,SEC_MIDAS_SECURITY,Metrics by Individual Security,SEC,1,Stage2A/2B,intraday market structure,P1,2012-01 through 2026-06,NO_KEY_BULK,LARGE,https://www.sec.gov/data-research/sec-markets-data/marketstructuredata-security,quarter ZIP,date < eventDate for pre-event; T0 only in confirmation,"cancels, trades, hidden/odd-lot volume, order/trade volume, ranks",Daily aggregates; do not call it order-book reconstruction,QUEUED_DYNAMIC_DISCOVERY
WAVE1,SEC_OFFERING_FILINGS,"Registration statements, prospectus supplements, EFFECT/POS/RW/AW offering chronology",SEC,YES,Stage1/ExternalEvidence,dilution_financing,P1,historical EDGAR through current,EDGAR submissions and primary documents,LARGE_SELECTIVE,https://www.sec.gov/edgar/search/,event CIK and filing,public filing/acceptance strictly before eventDate,"ATM, shelf registration, resale registration, warrants and dilution-risk chronology",Registration capacity is not proof that securities were sold; parse actual offering terms separately.,EVENT_FILING_COLLECTOR_INCLUDED
WAVE1,SEC_REG_A,Regulation A Data Sets,SEC,1,Stage1/2A,financing/dilution,P1,2015-06 through 2026,NO_KEY_BULK,SMALL,https://www.sec.gov/data-research/sec-markets-data/regulation-data-sets,quarter ZIP,filing_date < cutoff,"small issuer offering activity, dilution pressure",Offering activity is not manipulation evidence,QUEUED_DYNAMIC_DISCOVERY
WAVE1,SEC_SCHEDULE_13DG_STRUCTURED,"Schedules 13D/G and amendments, including structured ownership data",SEC,YES,Stage1/ExternalEvidence,ownership_control,P1,historical EDGAR; structured XML requirement from 2024-12-18,EDGAR submissions and primary documents,MEDIUM,https://www.sec.gov/edgar/search/,event CIK and filing,filed/accepted strictly before eventDate,"beneficial ownership, control changes, activist or coordinated accumulation chronology",More than 5% ownership is not manipulation; amendments and filing deadlines must be modeled.,EVENT_FILING_COLLECTOR_INCLUDED
WAVE1,SEC_SUBMISSIONS_BULK,EDGAR submissions.zip and company submissions JSON,SEC,1,Stage0/Stage1/2A/2B,identity/filings,P1,current plus historical submissions,NO_KEY_BULK/API,LARGE,https://www.sec.gov/search-filings/edgar-application-programming-interfaces,nightly bulk ZIP / CIK JSON,acceptance/filing timestamp < cutoff,"historical names, former names, tickers, exchanges, form chronology",Current ticker metadata must not be back-projected without valid intervals,STATIC_URL_AND_CIK_QUEUE_INCLUDED
WAVE1,SEC_TRADING_SUSPENSIONS,SEC Trading Suspensions,SEC,1,Labels/Controls/External Evidence,official intervention,P1,historical through current,HTML/PDF,SMALL,https://www.sec.gov/enforcement-litigation/trading-suspensions,suspension release,public release date; event start separately sourced,positive/control discovery and external evidence,"Suspension reason may be disclosure adequacy, not proven manipulation",INDEX_QUEUE_INCLUDED
WAVE1,SEC_TRANSFER_AGENT,Transfer Agent Data Sets,SEC,YES,Stage0/Stage1,identity_float_infrastructure,P1,2006-12 through 2026-06,landing-page linked ZIP,SMALL,https://www.sec.gov/data-research/sec-markets-data/transfer-agent-data-sets,quarter,as-filed public quarter before eventDate,"transfer-agent identity, issuer servicing changes and share-account infrastructure","Transfer-agent activity is infrastructure evidence, not issuer misconduct.",LINK_DISCOVERY_AND_DOWNLOAD_CODE_INCLUDED
WAVE1,CLINICALTRIALS_GOV_API,ClinicalTrials.gov API v2,NIH/NLM,YES,Stage2A/ExternalEvidence,legitimate_clinical_catalyst,P1_SECTOR,historical studies through current; API refreshed weekdays,REST API/CSV,TARGETED,https://clinicaltrials.gov/data-api/api,issuer/sponsor query,first-posted or update-posted date strictly before eventDate,"trial starts, completions, results, status changes and sponsor chronology for biotech controls",Sponsor-name matching is ambiguous; submission date is not the same as public posting date.,LEGITIMATE_CATALYST_COLLECTOR_INCLUDED
WAVE1,OPENFDA_DRUGSFDA,openFDA Drugs@FDA approvals and application records,FDA,YES,ExternalEvidence,legitimate_regulatory_catalyst,P1_SECTOR,approved products since 1939; daily weekday updates,bulk ZIP JSON/API,SMALL,https://open.fda.gov/apis/drug/drugsfda/download/,bulk or sponsor query,approval/public record date strictly before eventDate,drug approval/application confirmation and legitimate catalyst labeling,Company-name harmonization and applicant ownership history require manual audit.,LEGITIMATE_CATALYST_COLLECTOR_INCLUDED
WAVE1,CBOE_MARKET_VOLUME,Cboe Historical Market Volume,Cboe,0,Stage1/2A,market regime/venue share,P2,2009 onward,PUBLIC_CSV,SMALL,https://www.cboe.com/us/equities/market_statistics/historical_market_volume/,day/month,date <= cutoff,market-wide volume and venue-share regime,"Market-level, not issuer-specific",REFERENCE_COLLECTOR_INCLUDED
WAVE1,DOJ_SECURITIES_FRAUD_CASES,DOJ securities-fraud cases and press releases,U.S. Department of Justice,YES,Label/ActorGraph,criminal_enforcement,P2,historical web case and press-release archive through current,search/index/document crawl,TARGETED,https://www.justice.gov/news,case/actor/issuer query,document publication date and alleged conduct dates stored separately,"official criminal allegations, pleas, convictions and sentencing chronology","Charge, plea, conviction and sentencing are different legal states; do not collapse them.",INDEX_DESIGN_INCLUDED_CATALOG_ONLY
WAVE1,FINRA_DAILY_LIST_OTC,FINRA OTC Daily List / historical monthly archives,FINRA,1,Stage0,identity/corporate action,P2,historical archive dependent,PUBLIC_DOWNLOAD,MEDIUM,https://otce.finra.org/otce/dailyList,day/month,effective/announcement dates with availability,"symbol/name changes, splits, bankruptcy, halts",Needed to prevent ticker reuse and corporate-action leakage,CATALOG_ONLY
WAVE1,FINRA_DISCIPLINARY_ACTIONS,FINRA disciplinary actions and BrokerCheck records,FINRA,YES_SRO,Label/ActorGraph,broker_actor_enforcement,P2,historical disciplinary archive through current,search/index/document crawl,TARGETED,https://www.finra.org/rules-guidance/oversight-enforcement/disciplinary-actions,actor/firm query,public action date and underlying conduct period stored separately,"broker-dealer and registered-person actor graph, sanctions and market-conduct labels",Settlements may be without admission; firm/individual identity resolution is required.,INDEX_DESIGN_INCLUDED_CATALOG_ONLY
WAVE1,FINRA_OTC_SHORT_INTEREST,OTC Short Interest Data,FINRA,1,Stage1/External Evidence,short interest,P2,provider archive dependent,DOWNLOAD,MEDIUM,https://www.finra.org/finra-data/browse-catalog/short-interest,settlement publication,public availability < cutoff,position-level short interest complement,Distinct from daily short-sale volume,CATALOG_ONLY
WAVE1,FINRA_OTC_TRANSPARENCY,OTC Transparency / ATS and non-ATS data,FINRA,1,Stage0/Stage1/2B,OTC liquidity/venue,P2,provider archive dependent,DOWNLOAD/API,LARGE,https://www.finra.org/finra-data/browse-catalog/otc-transparency-data,week/month,publication date < cutoff,OTC venue concentration and liquidity,Coverage/publication lag must be modeled,CATALOG_ONLY
WAVE1,NASDAQ_THRESHOLD,Nasdaq Regulation SHO Threshold Security List,Nasdaq,0,Stage1/2A/External Evidence,settlement/threshold,P2,current and historical interface,PUBLIC_DOWNLOAD,SMALL,https://www.nasdaqtrader.com/trader.aspx?id=regshothreshold,trade day,list date < cutoff,threshold persistence and entry/exit,Threshold status alone is not manipulation evidence,REFERENCE_COLLECTOR_INCLUDED
WAVE1,SEC_AAER,SEC Accounting and Auditing Enforcement Releases,SEC,1,Labels/External Evidence,accounting misconduct,P2,historical through current,HTML/PDF,SMALL,https://www.sec.gov/enforcement-litigation/accounting-auditing-enforcement-releases,release,official dates; pre-event cutoff,accounting-fraud catalysts and actor network,Often retrospective; do not leak later findings into pre-event features,INDEX_QUEUE_INCLUDED
WAVE1,SEC_BDC_DATA,Business Development Company XBRL Data Sets,SEC,YES,Stage1/LegitimateControl,bdc_financial_holdings,P2,2022-10 through 2026-06,landing-page linked ZIP,MEDIUM,https://www.sec.gov/data-research/sec-markets-data/bdc-data-sets,quarter/month,filing/public dataset vintage before eventDate,"schedule of investments, detailed financials and non-financial BDC data",Relevant mainly to BDC issuers and holdings networks; June 2026 lacks financial rows.,LINK_DISCOVERY_AND_DOWNLOAD_CODE_INCLUDED
WAVE1,SEC_FINANCIAL_NOTES,Financial Statement and Notes Data Sets,SEC,1,Stage1/2A/External Evidence,disclosure text/numeric,P2,2009-01 through 2026-07,NO_KEY_BULK,VERY_LARGE,https://www.sec.gov/data-research/sec-markets-data/financial-statement-notes-data-sets,quarter/month ZIP,filed < cutoff,"going concern, financing, debt covenant, dilution and note text",Large; target CIKs after download and preserve accession/filed provenance,QUEUED_DYNAMIC_DISCOVERY
WAVE1,SEC_FORM_13F,Form 13F Data Sets,SEC,1,Stage1/2A,institutional ownership,P2,2013-07 through 2026-05,NO_KEY_BULK,LARGE,https://www.sec.gov/data-research/sec-markets-data/form-13f-data-sets,quarter ZIP,filing_date < cutoff; holdings report period separately,"ownership concentration, entry/exit, manager network",Report delay and confidential treatment; do not use period-end as public date,QUEUED_DYNAMIC_DISCOVERY
WAVE1,SEC_FORM_ADV,Registered Investment Adviser and Exempt Reporting Adviser reports,SEC/FINRA IARD,YES,Stage0/ActorGraph,adviser_actor_network,P2,monthly archive 2006-07 through 2026-07; historical ADV CSV from 2001,landing-page linked ZIP/XLSX/CSV,MEDIUM,https://www.sec.gov/data-research/sec-markets-data/information-about-registered-investment-advisers-exempt-reporting-advisers,month,report vintage must precede eventDate,"adviser identity, control persons, affiliations, custody, client transactions and disciplinary disclosures",Published report is a subset of Form ADV and does not establish wrongdoing.,LINK_DISCOVERY_AND_DOWNLOAD_CODE_INCLUDED
WAVE1,SEC_FUND_SERIES_CLASS,Investment Company Series and Class Information,SEC,YES,Stage0,fund_identity,P2,2010-01 through 2026-06,landing-page linked CSV/XML,MEDIUM,https://www.sec.gov/data-research/sec-markets-data/investment-company-series-class-information,year,use only a report vintage available before eventDate,"CIK, series/class IDs and fund ticker identity bridge",The report includes inactive-or-not-yet-active entities and is not a complete closed-end-fund universe.,LINK_DISCOVERY_AND_DOWNLOAD_CODE_INCLUDED
WAVE1,SEC_MIDAS_DECILE_QUARTILE,MIDAS Summary Metrics by Decile and Quartile,SEC,YES,Stage2B/MarketRegime,market_structure_peer_baseline,P2,2012-01 through 2026-06,landing-page linked ZIP,SMALL,https://www.sec.gov/data-research/sec-markets-data/marketstructuredata-decile-quartile,full-range ZIP,metric date and peer partition must be known before eventDate,"market-cap, price, volatility and turnover peer baselines for individual-security MIDAS residuals",Peer bucket construction must not use future market cap or volatility.,LINK_DISCOVERY_AND_DOWNLOAD_CODE_INCLUDED
WAVE1,SEC_MIDAS_SECURITY_EXCHANGE,Metrics by Individual Security and Exchange,SEC,1,Stage2B,intraday market structure,P2,2012-01 through 2026-06,NO_KEY_BULK,VERY_LARGE,https://www.sec.gov/data-research/sec-markets-data/market-structure-data-security-exchange,quarter ZIP,date < cutoff/T0 confirmation,venue fragmentation and exchange-specific cancel/trade behavior,Very large; filter ticker/date while streaming,QUEUED_DYNAMIC_DISCOVERY
WAVE1,SEC_MIDAS_SUMMARY_EXCHANGE,MIDAS Summary Metrics by Exchange,SEC,YES,Stage2B/MarketRegime,market_structure_aggregate,P2,2012-01 through 2026-06,landing-page linked ZIP,SMALL,https://www.sec.gov/data-research/sec-markets-data/marketstructuredata-exchange,full-range ZIP,metric date strictly before eventDate,"exchange-level trade-to-order, cancel/trade, odd-lot and hidden-volume baselines",Aggregate exchange metrics cannot identify issuer-specific manipulation.,LINK_DISCOVERY_AND_DOWNLOAD_CODE_INCLUDED
WAVE1,SEC_NCEN,Form N-CEN Data Sets,SEC,YES,Stage0/Stage1,fund_operations_network,P2,2018-09 through 2026-06,landing-page linked ZIP,MEDIUM,https://www.sec.gov/data-research/sec-markets-data/form-n-cen-data-sets,quarter,filing/public quarter strictly before eventDate,"fund operations, service providers, ETF structure and counterparty network",Some schema 3.1 filings are temporarily omitted from the published data set.,LINK_DISCOVERY_AND_DOWNLOAD_CODE_INCLUDED
WAVE1,SEC_NPORT,Form N-PORT Data Sets,SEC,1,Stage1/2A,fund ownership/liquidity,P2,2019-10 through 2026-06,NO_KEY_BULK,VERY_LARGE,https://www.sec.gov/data-research/sec-markets-data/form-n-port-data-sets,quarter ZIP,filing/public availability < cutoff,"fund ownership, liquidity and concentration shocks",Very large and fund-reporting lag; map holdings with CUSIP/FIGI PIT,QUEUED_DYNAMIC_DISCOVERY
WAVE1,SEC_STOP_ORDERS,SEC Stop Orders,SEC,1,Labels/External Evidence,offering intervention,P2,historical through current,HTML/PDF,SMALL,https://www.sec.gov/enforcement-litigation/stop-orders,order,public date; pre-event cutoff,registration/offering risk evidence,Not equivalent to trading manipulation,INDEX_QUEUE_INCLUDED
WAVE1,GDELT_DOC,GDELT DOC/news event search,GDELT,0,External Evidence,news/public catalyst,P2_OPTIONAL,2017-ish API coverage plus archives,NO_KEY_API,MEDIUM,https://www.gdeltproject.org/,event query,article publication time < cutoff,public catalyst coverage and promotion-news timing,Not official legal evidence; no-news is not proof of no catalyst,LEGACY_COLLECTOR_INCLUDED
WAVE1,FDA_ORANGE_BOOK,FDA Orange Book data files,FDA,YES,ExternalEvidence,legitimate_regulatory_catalyst,P2_SECTOR,approved small-molecule products; current and archived releases,downloadable files,SMALL,https://www.fda.gov/drugs/drug-approvals-and-databases/orange-book-data-files,release snapshot,only an archived release available before eventDate is PIT-safe,"approval, exclusivity and therapeutic-equivalence context",A current snapshot must not be backfilled into historical events.,CATALOG_AND_MANUAL_DOWNLOAD_GUIDANCE
WAVE1,FDA_PURPLE_BOOK,FDA Purple Book licensed biological products,FDA,YES,ExternalEvidence,legitimate_regulatory_catalyst,P2_SECTOR,monthly downloadable archive through 2026-06,landing-page linked CSV/XLSX,SMALL,https://purplebooksearch.fda.gov/downloads,month,use monthly release available before eventDate,"biologic approvals, biosimilarity/interchangeability and applicant changes",Applicant changes and product additions can be revisions rather than new approvals.,LINK_DISCOVERY_AND_DOWNLOAD_CODE_INCLUDED
WAVE1,NIH_REPORTER_EXPORTER,"NIH RePORTER/ExPORTER projects, abstracts and publications",NIH,YES,ExternalEvidence/Stage1,legitimate_research_funding,P2_SECTOR,CRISP legacy 1970-2009 and RePORTER annual files through FY2025,bulk CSV/API/search export,LARGE_SELECTIVE,https://reporter.nih.gov/exporter,fiscal-year file or organization query,award/project public release vintage strictly before eventDate,"NIH grants, contracts, research pipeline and sponsor-network controls",Research awards are not product approvals and organization-name matching is nontrivial.,CATALOG_AND_TARGETED_COLLECTION_DESIGN
WAVE1,OPENFDA_DEVICE_510K,openFDA medical-device 510(k) records,FDA,YES,ExternalEvidence,legitimate_device_catalyst,P2_SECTOR,historical 510(k) clearances through current,bulk ZIP JSON/API,MEDIUM,https://open.fda.gov/apis/device/510k/download/,bulk or applicant query,decision/public record date strictly before eventDate,device-clearance controls for medical-device issuers,Applicant names and later corporate ownership require historical identity mapping.,LEGITIMATE_CATALYST_COLLECTOR_INCLUDED
WAVE1,OPENFDA_DEVICE_PMA,openFDA medical-device premarket approvals,FDA,YES,ExternalEvidence,legitimate_device_catalyst,P2_SECTOR,historical PMA records through current,bulk ZIP JSON/API,MEDIUM,https://open.fda.gov/apis/device/pma/download/,bulk or applicant query,decision/public record date strictly before eventDate,PMA approval and supplement controls for device issuers,Approval supplements differ in materiality; do not label every supplement as a catalyst.,LEGITIMATE_CATALYST_COLLECTOR_INCLUDED
WAVE1,OPENFDA_DRUG_ENFORCEMENT,openFDA drug recall enforcement reports,FDA,YES,ExternalEvidence,negative_regulatory_catalyst,P2_SECTOR,"recall enforcement records, broadly since 2012",bulk ZIP JSON/API,SMALL,https://open.fda.gov/apis/drug/enforcement/download/,bulk or firm query,recall classification/public report date strictly before eventDate,"negative legitimate catalyst, recall and product-quality event controls",Recalls are often voluntary; a recall is not proof of fraud or market manipulation.,LEGITIMATE_CATALYST_COLLECTOR_INCLUDED
WAVE1,USASPENDING_AWARDS,USAspending federal contract and grant awards,U.S. Treasury,YES,ExternalEvidence/Stage2A,legitimate_contract_catalyst,P2_SECTOR,DATA Act award data through current; API v2,REST API/bulk,TARGETED,https://api.usaspending.gov/,recipient query,award action/public date strictly before eventDate,government contract or grant confirmation and issuer dependency features,Recipient-name matching and parent/subsidiary relationships require entity resolution.,LEGITIMATE_CATALYST_COLLECTOR_INCLUDED
WAVE1,FINRA_MONTHLY_SHORT_TX,Monthly Short Sale Transaction Files,FINRA,1,Stage2B,intraday off-exchange flow,P2_SELECTIVE,monthly current/historical page,NO_KEY_BULK,EXTREME,https://www.finra.org/finra-data/browse-catalog/short-sale-volume-data/monthly-short-sale-volume-files,month/venue ZIP parts,trade timestamp < cutoff or T0 confirmation,"trade-level time, size and short-sale flow","Multi-GB per month; only event months/symbols, stream filtering, not exchange-consolidated",SELECTIVE_DISCOVERY_CODE_INCLUDED
WAVE1,CBOE_SSR,Cboe short-sale circuit-breaker lists,Cboe,0,Stage2A/External Evidence,SSR intervention,P3,annual/current,PUBLIC_DOWNLOAD,SMALL,https://www.cboe.com/us/equities/market_statistics/short_sale_circuit_breakers/,day/year,effective date < cutoff,SSR activation context,Venue/list coverage may be partial,CATALOG_ONLY
WAVE1,FEDERAL_REGISTER_API,Federal Register API,Office of the Federal Register/GPO,YES,ExternalEvidence,legitimate_government_action,P3,digital documents broadly from 1994 through current,REST API,TARGETED,https://www.federalregister.gov/developers/documentation/api/v1,issuer/product query,publication date strictly before eventDate,"agency notices, rulemaking and official government-action controls",Name matches can be incidental and must be linked to the issuer/product.,LEGITIMATE_CATALYST_COLLECTOR_INCLUDED
WAVE1,GLEIF_LEI_GOLDEN_COPY,GLEIF LEI Golden Copy and relationship files,GLEIF,OFFICIAL_LEI_FOUNDATION,Stage0/ActorGraph,global_entity_identity,P3,LEI system history through current snapshots,bulk ZIP/API,LARGE,https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy#/,daily snapshot,use snapshot/record dates available before eventDate where possible,"legal entity identity, parent relationships and cross-border actor-network bridge",LEI coverage is incomplete for historical microcaps and current snapshots are not automatically PIT-safe.,CATALOG_ONLY
WAVE1,SEC_ACTIVE_BROKER_DEALERS,SEC Active Broker-Dealer Data,SEC,1,Actor Graph,broker/dealer reference,P3,2007-03 through current monthly,NO_KEY_BULK,SMALL,https://www.sec.gov/foia/frequently-requested-documents/company-information-about-active-broker-dealers,month CSV,snapshot month <= cutoff,broker-dealer identity and network enrichment,Current status differs from historical participation,CATALOG_ONLY
WAVE1,SEC_BDC_REPORT,Business Development Company identity report,SEC,YES,Stage0,fund_issuer_identity,P3,2012-01 through 2026-06,landing-page linked CSV/XML,SMALL,https://www.sec.gov/data-research/sec-markets-data/opendatasetsshtmlbdc,year,use report vintage available before eventDate,CIK/reporting-number identity and historical BDC universe,Active-status report is not a complete historical status interval without vintage preservation.,LINK_DISCOVERY_AND_DOWNLOAD_CODE_INCLUDED
WAVE1,SEC_CANCEL_TRADE,Conditional Cancel and Trade Distributions,SEC,1,Stage2B,market-structure prior,P3,2012-Q4 onward,NO_KEY_BULK,MEDIUM,https://www.sec.gov/data-research/sec-markets-data/marketstructuredata-conditional-cancel,quarter ZIP,period prior to cutoff,conditional cancel/trade duration priors,"Class-level distributions, not ticker-specific order book",QUEUED_DYNAMIC_DISCOVERY
WAVE1,SEC_CLOSED_END_FUND,Closed-End Fund Information,SEC,YES,Stage0,fund_identity,P3,2012-01 through 2026-06,landing-page linked CSV/XML,SMALL,https://www.sec.gov/data-research/sec-markets-data/closed-end-fund-information,year,use report vintage available before eventDate,closed-end fund CIK and filing identity,Active-status report is not a legal or economic classification of event causality.,LINK_DISCOVERY_AND_DOWNLOAD_CODE_INCLUDED
WAVE1,SEC_MMF_INFO,Money Market Fund Information,SEC,YES,Stage0/MarketRegime,fund_identity,P3,2013-01 through 2026-04,landing-page linked CSV/XML,SMALL,https://www.sec.gov/data-research/sec-markets-data/money-market-fund-information,month,use monthly report vintage available before eventDate,MMF identity and series mapping for N-MFP holdings,Current report can contain ceased funds not yet terminated; retain vintage and status fields.,LINK_DISCOVERY_AND_DOWNLOAD_CODE_INCLUDED
WAVE1,SEC_NMFP,Form N-MFP money-market fund portfolio Data Sets,SEC,YES,Stage1/MarketRegime,funding_liquidity_network,P3,2010-09 through 2026-06,landing-page linked ZIP,LARGE,https://www.sec.gov/data-research/sec-markets-data/dera-form-n-mfp-data-sets,quarter/month,monthly filing availability must precede eventDate,"money-market holdings, issuer funding exposure and liquidity stress context",Fund holdings require issuer/security identifier mapping and reporting-lag controls.,LINK_DISCOVERY_AND_DOWNLOAD_CODE_INCLUDED
WAVE1,SEC_QUOTE_HAZARDS,Hazards and Survivors by Time Period,SEC,1,Stage2B,market-structure prior,P3,2012-Q4 onward,NO_KEY_BULK,MEDIUM,https://www.sec.gov/data-research/sec-markets-data/marketstructuredata-hazards-survivors,quarter ZIP,period prior to cutoff,quote lifetime hazard priors by class,"Class-level distributions, not issuer event evidence",QUEUED_DYNAMIC_DISCOVERY
WAVE1,CAT_SYMBOL_MASTER,CAT Reportable Equity Securities Symbol Master,CAT NMS,0,Stage0,current identity reference,P3_CURRENT_ONLY,current day,PUBLIC_CSV,SMALL,https://www.catnmsplan.com/reference-data,day snapshot,snapshot date; never back-project,current NMS/OTC reportable symbol reference,Current snapshot cannot establish historical validity alone,REFERENCE_COLLECTOR_INCLUDED
WAVE1,NASDAQ_SYMBOL_DIRECTORY,Nasdaq Trader Symbol Directory,Nasdaq,0,Stage0,current identity reference,P3_CURRENT_ONLY,current day,PUBLIC_TEXT,SMALL,https://www.nasdaqtrader.com/trader.aspx?id=symboldirdefs,day snapshot,snapshot date; never back-project,current listed/other-listed symbol metadata,No historical PIT guarantee,REFERENCE_COLLECTOR_INCLUDED
